id,label
204883,Reusable bag
204681,Greenhouse gas emissions
204673,Mindfulness
204645,Landfill
204865,Sustainable development
204668,Dam
204734,Business model
204706,Crop rotation
204879,Smog
204657,Transportation
204869,Human activities
204758,ChatGPT
204722,Cybersecurity
204815,Factories
204873,Environmental degradation
204654,Monoculture
204859,Methane
204935,Pet adoption
204936,Veganism
204753,Hierarchy of needs
204699,Television
204679,Artificial intelligence
204840,Resource depletion
204842,Geothermal energy
204694,Consumerism
204928,Climate Refugees
204919,Gasoline
204659,Fishing
204855,Social well-being
204674,Sustainable Development Goals
204841,Pandemic
204925,Rebound Effect (conservation)
204818,Smart grid
204732,Hydropower
204779,Carbon footprint
204912,Self-driving car
204937,Plastic waste
204832,Social media
204828,Flooding
204876,Water conservation
204698,Monopoly
204896,Circular economy
204848,Green infrastructure
204717,Bioenergy
204770,Immigration
204704,Sustainable business
204661,Roof garden
204904,Water pollution
204677,Economic stability
204882,Environmental justice
204749,Online class
204850,Respiratory disease
204833,Tesla
204707,Light pollution
204889,Fast fashion
204791,Societal collapse
204789,Washing machine
204798,PETA
204907,Nuclear fusion
204663,COVID-19
204774,Biodiversity loss
204762,Apple iphone
204863,Therapy
204744,Economic growth
204792,Globalization
204804,Military
204899,Airplane
204867,Solar power
204897,Water consumption
204872,Healthy diet
204635,Human migration
204809,Food waste
204757,Car
204813,Pastoralism
204851,Overgrazing
204719,Communication
204895,Computer
204808,Inflation
204933,Jevons paradox
204786,Temperature Rising
204765,Carbon tax
204731,IPhone
204667,Grain
204931,Coastal erosion
204739,Fossil fuel
204891,Green computing
204787,Advertising
204713,Wildfire
204724,Extinction
204932,Overpopulation
204700,Urbanization
204894,Well-being
204634,Technological determinism
204905,Computational sustainability
204849,Urban farming
204741,Drought
204797,Financial stability
204708,Solar water heating
204837,Homelessness
204665,Robotics
204718,Scientific thinking
204743,Sustainable film production
204729,Biometrics
204656,California HeatWave
204820,Animal testing
204683,Tourism
204696,Smartphone
204690,Business
204782,Indigenous Knowledge
204788,Vegetarianism
204666,Sustainable infrastructure
204930,Information technology
204691,E-waste recycling
204929,COVID-19 vaccine
204861,Industrialisation
204799,Ubiquitous computing
204836,Exercise
204807,Greenwashing
204817,Energy efficiency in buildings
204652,Flood
204790,Smart city
204864,Standard of living
204669,Economic collapse
204638,Dog adoption
204835,Animal rights
204735,Safety
204772,Discarded computers
204650,Wild Fire
204885,Efficiency
204768,Mass production
204923,Logo
204712,Poverty
204917,Environmental migrant
204916,Social inequality
204776,Agriculture
204687,Public infrastructure
204671,Food security
204752,Nature
204648,Carbon impact
204637,MacBook
204783,Mobile phone
204747,MacBook Pro (Apple silicon)
204647,Habitat destruction
204927,Walking
204692,Water quality
204886,Physical health
204890,Carpool
204888,Sustainable tourism
204750,Consumption
204858,Tragedy of commons
204878,Distance education
204854,ALOHAnet
204742,Solar panel
204771,Climate change denial
204795,Heat wave
204853,Electronics
204843,Rebound effect (conservation)
204766,Consumption (economics)
204805,Sea level rise
204806,Ecosystem management
204868,Biofuel
204909,Carbon dioxide
204723,Education
